#{"t_start": 1764373019.9330518, "env_id": "merge-v0"}
r,l,t
4.331454,5,187.252961
4.235642,5,187.383926
13.856234,15,187.640551
3.394444,4,187.714363
14.41179,16,188.039415
7.975932,9,188.262677
6.849073,8,188.454654
5.26248,6,188.553662
7.975932,9,188.734173
10.190595,12,189.000756
8.031487,9,189.215747
6.276234,7,189.324874
6.950777,8,189.486011
4.331454,5,189.627594
7.079618,8,189.784044
4.247054,5,189.870805
8.031487,9,190.038585
6.88732,8,190.247105
8.059265,9,190.438191
5.206925,6,190.585662
4.401481,5,190.693483
8.059265,9,190.872059
8.059265,9,191.089278
3.331454,4,191.16929
8.059265,9,191.358338
8.059265,9,191.530178
6.258191,7,191.688517
6.162942,7,191.83193
7.257396,8,191.98793
5.868424,7,192.090475
5.034542,6,192.224584
4.177876,5,192.306317
6.98939,8,192.483463
6.083871,7,192.630847
5.111648,6,192.733606
4.225167,5,192.86512
11.308879,14,193.125308
6.967279,8,193.271333
11.835677,15,193.574591
13.717346,15,193.905756
13.66179,15,194.162114
12.688607,15,194.455086
5.303054,6,194.587888
7.277809,8,194.741517
3.401481,4,194.819528
6.225797,7,194.930777
4.382123,5,195.06423
8.059265,9,195.301584
3.053054,4,195.382893
6.871485,8,195.534936
4.364056,5,195.624739
5.237991,6,195.756422
5.303054,6,195.849777
4.444444,5,195.942633
6.265912,7,196.105224
5.882123,7,196.247054
5.764407,7,196.389291
12.939568,15,196.648297
4.750181,6,196.784619
10.972488,15,197.086829
8.413045,10,197.254767
12.549718,15,197.54582
12.995123,15,197.861374
5.154658,6,197.971954
8.059265,9,198.14732
6.959825,8,198.301051
4.382123,5,198.48209
3.401481,4,198.557143
13.856234,15,198.810299
11.94471,15,199.108902
8.059265,9,199.270207
4.347193,5,199.437144
6.140332,7,199.540338
5.128279,6,199.668141
7.628943,9,199.826147
8.031487,9,200.002801
4.363553,5,200.137221
13.939568,16,200.440403
6.16811,7,200.537834
6.232197,7,200.67535
4.444444,5,200.757547
4.382123,5,200.882884
7.724104,9,201.041276
6.959825,8,201.195062
6.934709,8,201.352347
